DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-11-17;FLRY3;0;17,190;900;100300023;10;1;2023-11-17;40;40
2023-11-17;FLRY3;0;17,190;100;100300023;20;1;2023-11-17;23;40
2023-11-17;FLRY3;0;17,190;100;100300023;30;1;2023-11-17;23;40
2023-11-17;FLRY3;0;17,190;100;100300023;40;1;2023-11-17;23;40
2023-11-17;FLRY3;0;17,190;100;100300023;50;1;2023-11-17;23;40
2023-11-17;FLRY3;0;17,190;300;100300023;60;1;2023-11-17;8;40
2023-11-17;FLRY3;0;17,190;200;100300023;70;1;2023-11-17;8;40
2023-11-17;FLRY3;0;17,190;100;100300023;80;1;2023-11-17;8;3
2023-11-17;FLRY3;0;17,190;500;100300023;90;1;2023-11-17;8;3
2023-11-17;FLRY3;0;17,190;100;100300023;100;1;2023-11-17;40;3
2023-11-17;FLRY3;0;17,190;200;100300023;110;1;2023-11-17;1618;3
2023-11-17;FLRY3;0;17,190;100;100300023;120;1;2023-11-17;1618;3
2023-11-17;FLRY3;0;17,190;200;100300023;130;1;2023-11-17;1618;3
2023-11-17;FLRY3;0;17,190;100;100300023;140;1;2023-11-17;40;3
2023-11-17;FLRY3;0;17,190;100;100300023;150;1;2023-11-17;8;3
2023-11-17;FLRY3;0;17,190;100;100300023;160;1;2023-11-17;3;3
2023-11-17;FLRY3;0;17,190;100;100300023;170;1;2023-11-17;3;3
2023-11-17;FLRY3;0;17,170;100;100300023;180;1;2023-11-17;85;308
2023-11-17;FLRY3;0;17,190;200;100300061;190;1;2023-11-17;1618;85
2023-11-17;FLRY3;0;17,190;200;100300061;200;1;2023-11-17;1618;85
2023-11-17;FLRY3;0;17,190;100;100300061;210;1;2023-11-17;1618;3
2023-11-17;FLRY3;0;17,200;1100;100300112;220;1;2023-11-17;1618;1099
2023-11-17;FLRY3;0;17,220;200;100300145;230;1;2023-11-17;1618;308
2023-11-17;FLRY3;0;17,200;200;100300185;240;1;2023-11-17;85;3
2023-11-17;FLRY3;0;17,200;100;100300185;250;1;2023-11-17;8;3
2023-11-17;FLRY3;0;17,230;400;100307780;260;1;2023-11-17;1618;308
2023-11-17;FLRY3;0;17,300;100;100414465;270;1;2023-11-17;39;3
2023-11-17;FLRY3;0;17,300;100;100433467;280;1;2023-11-17;8;1618
2023-11-17;FLRY3;0;17,300;100;100433467;290;1;2023-11-17;3;1618
2023-11-17;FLRY3;0;17,300;100;100433467;300;1;2023-11-17;238;1618
2023-11-17;FLRY3;0;17,290;100;100433468;310;1;2023-11-17;72;8
2023-11-17;FLRY3;0;17,290;100;100433468;320;1;2023-11-17;85;8
2023-11-17;FLRY3;0;17,280;800;100433469;330;1;2023-11-17;45;8
2023-11-17;FLRY3;0;17,280;1100;100433469;340;1;2023-11-17;1618;8
2023-11-17;FLRY3;0;17,280;2300;100433469;350;1;2023-11-17;72;8
2023-11-17;FLRY3;0;17,280;2300;100433469;360;1;2023-11-17;1618;8
2023-11-17;FLRY3;0;17,290;300;100446033;370;1;2023-11-17;40;8
2023-11-17;FLRY3;0;17,280;100;100446034;380;1;2023-11-17;85;8
2023-11-17;FLRY3;0;17,280;1900;100446034;390;1;2023-11-17;72;8
2023-11-17;FLRY3;0;17,260;6500;100529355;400;1;2023-11-17;3;8
2023-11-17;FLRY3;0;17,260;200;100529356;410;1;2023-11-17;3;8
2023-11-17;FLRY3;0;17,260;3000;100529356;420;1;2023-11-17;3;8
2023-11-17;FLRY3;0;17,260;300;100529357;430;1;2023-11-17;3;8
2023-11-17;FLRY3;0;17,250;1100;100529357;440;1;2023-11-17;1618;8
2023-11-17;FLRY3;0;17,250;4300;100529357;450;1;2023-11-17;1618;8
2023-11-17;FLRY3;0;17,260;300;100529521;460;1;2023-11-17;40;45
