DataReferencia;CodigoInstrumento;AcaoAtualizacao;PrecoNegocio;QuantidadeNegociada;HoraFechamento;CodigoIdentificadorNegocio;TipoSessaoPregao;DataNegocio;CodigoParticipanteComprador;CodigoParticipanteVendedor
2023-11-20;FLRY3;0;17,160;400;100814181;10;1;2023-11-20;114;93
2023-11-20;FLRY3;0;17,160;100;100814181;20;1;2023-11-20;23;93
2023-11-20;FLRY3;0;17,160;300;100814181;30;1;2023-11-20;3;93
2023-11-20;FLRY3;0;17,160;100;100814181;40;1;2023-11-20;3;238
2023-11-20;FLRY3;0;17,160;200;100814181;50;1;2023-11-20;3;40
2023-11-20;FLRY3;0;17,160;100;100814181;60;1;2023-11-20;3;308
2023-11-20;FLRY3;0;17,160;200;100814181;70;1;2023-11-20;3;3
2023-11-20;FLRY3;0;17,160;1000;100814181;80;1;2023-11-20;3;3
2023-11-20;FLRY3;0;17,160;100;100814181;90;1;2023-11-20;3;308
2023-11-20;FLRY3;0;17,160;100;100814181;100;1;2023-11-20;39;3
2023-11-20;FLRY3;0;17,160;100;100814181;110;1;2023-11-20;39;114
2023-11-20;FLRY3;0;17,160;100;100814181;120;1;2023-11-20;39;3
2023-11-20;FLRY3;0;17,160;100;100814181;130;1;2023-11-20;39;3
2023-11-20;FLRY3;0;17,160;500;100814181;140;1;2023-11-20;39;8
2023-11-20;FLRY3;0;17,160;1600;100814181;150;1;2023-11-20;39;8
2023-11-20;FLRY3;0;17,160;100;100814181;160;1;2023-11-20;39;3
2023-11-20;FLRY3;0;17,160;700;100814181;170;1;2023-11-20;39;1618
2023-11-20;FLRY3;0;17,160;100;100814181;180;1;2023-11-20;16;8
2023-11-20;FLRY3;0;17,160;100;100814181;190;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;200;100814181;200;1;2023-11-20;120;3
2023-11-20;FLRY3;0;17,160;600;100814181;210;1;2023-11-20;120;3
2023-11-20;FLRY3;0;17,160;100;100814181;220;1;2023-11-20;120;3
2023-11-20;FLRY3;0;17,160;100;100814181;230;1;2023-11-20;120;90
2023-11-20;FLRY3;0;17,160;400;100814181;240;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;300;100814181;250;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;400;100814181;260;1;2023-11-20;3;8
2023-11-20;FLRY3;0;17,160;200;100814181;270;1;2023-11-20;3;8
2023-11-20;FLRY3;0;17,160;100;100814181;280;1;2023-11-20;3;8
2023-11-20;FLRY3;0;17,160;400;100814181;290;1;2023-11-20;3;8
2023-11-20;FLRY3;0;17,160;600;100814181;300;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;300;100814181;310;1;2023-11-20;120;3
2023-11-20;FLRY3;0;17,160;500;100814181;320;1;2023-11-20;120;90
2023-11-20;FLRY3;0;17,160;100;100814181;330;1;2023-11-20;120;3
2023-11-20;FLRY3;0;17,160;100;100814181;340;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;400;100814181;350;1;2023-11-20;120;45
2023-11-20;FLRY3;0;17,160;200;100814181;360;1;2023-11-20;114;45
2023-11-20;FLRY3;0;17,170;100;100814196;370;1;2023-11-20;1618;120
2023-11-20;FLRY3;0;17,190;100;100814198;380;1;2023-11-20;85;120
2023-11-20;FLRY3;0;17,200;100;100814489;390;1;2023-11-20;4090;3
2023-11-20;FLRY3;0;17,170;100;100817506;400;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,160;100;100821610;410;1;2023-11-20;114;93
2023-11-20;FLRY3;0;17,160;1500;100821611;420;1;2023-11-20;114;8
2023-11-20;FLRY3;0;17,150;100;100821616;430;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,150;100;100831891;440;1;2023-11-20;1618;107
2023-11-20;FLRY3;0;17,150;100;100831891;450;1;2023-11-20;1618;40
2023-11-20;FLRY3;0;17,170;100;100837053;460;1;2023-11-20;114;120
2023-11-20;FLRY3;0;17,170;200;100849034;470;1;2023-11-20;72;16
2023-11-20;FLRY3;0;17,140;300;100854244;480;1;2023-11-20;40;8
2023-11-20;FLRY3;0;17,140;100;100854244;490;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,140;100;100854244;500;1;2023-11-20;16;8
2023-11-20;FLRY3;0;17,120;200;100907192;510;1;2023-11-20;308;8
2023-11-20;FLRY3;0;17,120;100;100907192;520;1;2023-11-20;120;8
2023-11-20;FLRY3;0;17,120;100;100907192;530;1;2023-11-20;85;8
2023-11-20;FLRY3;0;17,100;600;100913650;540;1;2023-11-20;114;1618
2023-11-20;FLRY3;0;17,090;100;100914332;550;1;2023-11-20;120;85
2023-11-20;FLRY3;0;17,090;100;100919340;560;1;2023-11-20;8;72
2023-11-20;FLRY3;0;17,090;100;100919340;570;1;2023-11-20;8;93
2023-11-20;FLRY3;0;17,090;100;100919340;580;1;2023-11-20;8;93
